"filename", "language", "JSON", "Markdown", "XML", "Ignore", "Properties", "Batch", "HTML", "Java", "YAML", "Shell Script", "comment", "blank", "total"
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\WebConfigurer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 11, 9, 58
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\audit\AuditEventConverter.java", "Java", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 26, 11, 87
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\audit\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\config\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\AbstractAuditingEntity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 17, 78
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\Authority.java", "Java", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 3, 10, 61
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\BillerT.java", "Java", 0, 0, 0, 0, 0, 0, 0, 265, 0, 0, 5, 79, 349
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\ParamFiliale.java", "Java", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 5, 35, 160
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\PersistentAuditEvent.java", "Java", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 22, 108
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\Tracking.java", "Java", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 5, 43, 195
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\TransactionGlobal.java", "Java", 0, 0, 0, 0, 0, 0, 0, 297, 0, 0, 5, 90, 392
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 180, 0, 0, 4, 48, 232
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\domain\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\AuthorityRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 4, 12
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\BillerTRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 5, 18
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\CustomAuditEventRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 9, 17, 90
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\ParamFilialeRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 4, 16
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\PersistenceAuditEventRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 8, 24
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\TrackingRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 5, 16
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\TransactionGlobalRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 5, 16
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 17, 50
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\repository\package-info.java", "Java", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 5
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\BillerByCodeRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 5, 18
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\CheckBillPayementRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 3, 12
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\CheckCustomerRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 3, 12, 55
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\CheckFactoryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 16, 70
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetAccountRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 10, 36
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillFeesRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 10, 43
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 17, 73
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillersRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 7, 28
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillsByNumRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 17, 73
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillsByRefJiramaReq.java", "Java", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 15, 58
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\GetBillsByRefRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 16, 72
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\PayementRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 3, 27, 119
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\PaymentReceiptRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 3, 11, 44
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\RecuPaiementRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 10, 15, 63
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\request\ResponseRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 12, 52
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\AnnulationPaiement.java", "Java", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 8, 34
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\Biller.java", "Java", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 4, 27, 134
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\BillerByCodeResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 4, 30, 145
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\CheckCustomerResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 8, 36
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\CheckFactoryResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 3, 26, 111
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\ExceptionResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 9, 36
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\FactureDispoResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 9, 26
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\FacuresDispo.java", "Java", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 6, 23
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\GenericResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 8, 39
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\GetAccountResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 10, 39
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\GetBillFeesResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 6, 27
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\GetBillersResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 8, 26
"d:\BOA\Dev\jirama\src\main\java\com\boa\api\response\GetBillsByRefResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 11, 36
